N°;Id annuaire;Nom;TAB;Adresse;CP;Ville;Tel;Fax;Email;Site;Description
90450000;7073;Pharmacie de L'Universalité;TAB;25, r. Mèches;94000;Créteil;01 42 07 41 55;;;;
90450000;7074;Pharmacie de La Levrière;TAB;Ccial Levrière;94000;Créteil;01 48 99 49 82;;;;
90450000;7075;Pharmacie de la Source;TAB;39, r. Falkirk;94000;Créteil;01 43 99 44 72;;;;
90450000;7076;Pharmacie des Bouleaux;TAB;8, pl. Bouleaux;94000;Créteil;01 42 07 44 45;;;;
90450000;7077;Pharmacie des Buttes;TAB;46, av. Mar de Lattre de Tassigny;94000;Créteil;01 48 99 36 06;;;;
90450000;7078;Pharmacie du Lac;TAB;10, av. Gén. Pierre Billotte;94000;Créteil;01 43 77 95 94;;;;
90450000;7079;Pharmacie du Montaigut;TAB;14, bd. Montaigut;94000;Créteil;01 48 98 07 28;;;;
90450000;7080;Pharmacie du Palais Créteil;TAB;18, all. Parmentier;94000;Créteil;01 48 99 71 03;;;;
90450000;7081;Pharmacie du Port;TAB;54, av. Gén. Pierre Billotte;94000;Créteil;01 43 99 23 00;;;;
90450000;7082;Pharmacie Face à L'Interco;TAB;83, av. Verdun;94000;Créteil;01 41 78 81 81;;;;
90450000;7083;Pharmacie Face Ancienne Mairie;TAB;48, r. Gén. Leclerc;94000;Créteil;01 42 07 18 77;;;;
90450000;7084;Pharmacie Faucher;TAB;186, r. Gén. Leclerc;94000;Créteil;01 42 07 32 58;;;;
90450000;7085;Pharmacie Kennedy;TAB;5, pl. gabriel faure;94000;Créteil;01 43 77 57 76;;;;
90450000;7086;Pharmacie Rehana;TAB;2, r. Edouard Manet;94000;Créteil;01 43 77 05 45;;;;
90450000;7087;Pharmacie Soumet;TAB;Ccial Régional;94000;Créteil;01 49 80 03 14;;;;
90450000;7088;Pharmacie Tran;TAB;3, pl. Petit Bois;94000;Créteil;01 43 39 29 68;;;;
90450000;7089;Tep Saly Phanie;TAB;9, all. Commerce;94000;Créteil;01 43 39 11 53;;;;
90460000;Pharmacies de gardes de jour;;;;;;;;;;
90470000;Pneumologie;;;;;;;;;;
90470000;7161;Le Maho Sylvie;TAB;11, r. Ecoles;94000;Créteil;01 43 99 03 85;;;;
90480000;Psychanalystes;;;;;;;;;;
90480000;7162;Berger Susi;TAB;20, r. Robert Legeay;94000;Créteil;01 42 07 92 21;;;;
90480000;7163;Bourget Blanchard Danielle;TAB;35, r. Ecoles;94000;Créteil;01 75 37 53 55;;;;
90480000;7164;Dutériez de Lima Hélène;TAB;7, pass. Image st Martin;94000;Créteil;01 49 80 95 72;;;;
90480000;7165;Guardiola Gisèle;TAB;74 Ter, r. Gén. Leclerc résid Leclerc Brossolette;94000;Créteil;01 48 98 46 29;;;;
90480000;7166;Voronine N. Eliette;TAB;17, villa du Petit Parc;94000;Créteil;01 42 07 97 83;;;www.psy-voronine.fr;Diplômée de la faculté de Paris 7. Psychologue clinicienne, Psychanalyste => Thérapie Enfants - Adolescents - Adultes
90490000;Psychiatrie;;;;;;;;;;
90490000;7167;Angleraud Jean-Marie;TAB;8, villa Pasteur;94000;Créteil;01 48 99 32 62;;;;
90490000;7168;Carré Jean-Baptiste;TAB;24, villa Petit Parc;94000;Créteil;01 41 78 35 06;;;;
90490000;7169;Dubois-Randé Catherine;TAB;24, villa Petit Parc;94000;Créteil;01 42 07 87 77;;;;
90490000;7170;Fontaine Marie-Christine;TAB;10, all. Toison d'Or;94000;Créteil;01 43 99 26 49;;;;
90490000;7171;Hamon Jean-Marcel;TAB;5, r. Château;94000;Créteil;01 48 98 44 15;;;;
90490000;7172;Nayeripoor Hamid;TAB;7, pass. de l'Image St-Martin;94000;Créteil;01 48 99 64 09;;;;
90500000;Psychiatrie de l'Enfant et de l'Adolescent;;;;;;;;;;
90500000;7174;Centre Médical Psychiatrique Infanto-Juvénile;TAB;1, all. Boutons d'Or;94000;Créteil;01 41 78 61 40;;;;
90500000;7173;Centre Médico-Psychologique Infantile;TAB;19, r. Buisson;94000;Créteil;01 41 78 61 38;;;;
90510000;Psychologues;;;;;;;;;;
90510000;7175;Bernstein Daniel;TAB;55 Quai Du Halage;94000;Créteil;01 48 98 16 71;;;;
90510000;7176;Bourget Blanchard Danielle;TAB;35, r. Ecoles;94000;Créteil;01 75 37 53 55;;;;
90510000;7177;Chiboust-durand Violaine;TAB;76, r. Ecoles;94000;Créteil;01 48 98 17 76;;;;
90510000;7178;Coquaz Brigitte;TAB;145, r. Chéret;94000;Créteil;01 42 07 72 20;;;;
90510000;7179;Deschamps Véronique;TAB;207, r. Gén. Leclerc;94000;Créteil;01 46 71 57 92;;;;
90510000;7180;Durand Violaine;TAB;76 r. des ecoles;94000;Créteil;01 48 98 17 76;;;;
90510000;7181;Duteriez Hélène;TAB;7, pass. Image St Martin;94000;Créteil;01 49 80 95 72;;;;
90510000;7182;Gimbert Valérie;TAB;52, av. Gén. Pierre Billotte;94000;Créteil;01 43 77 96 02;;;;
90510000;7183;Guardiola Gisèle;TAB;74 Ter, r. Gén. Leclerc;94000;Créteil;01 48 98 46 29;;;;
90510000;7184;Held Philippe;TAB;9, r. Mèches;94000;Créteil;01 41 78 66 20;;;;
90510000;7185;Jurkiewicz Alain;TAB;19, r. Plaisance;94000;Créteil;01 48 98 41 14;;;;
90510000;7186;Lecarpentier Nathalie;TAB;18, r. Doct Plichon;94000;Créteil;01 41 78 60 90;;;;
90510000;7187;Merran Hélène;TAB;6, pl. Salvador Allende;94000;Créteil;01 43 77 92 67;;;;
90510000;7188;Vienne Brigitte;TAB;7, pl. Salvador Allende;94000;Créteil;01 43 39 07 13;;;;
90510000;7166;Voronine N. Eliette;TAB;17, villa du Petit Parc;94000;Créteil;01 42 07 97 83;;;www.psy-voronine.fr;Diplômée de la faculté de Paris 7. Psychologue clinicienne, Psychanalyste => Thérapie Enfants - Adolescents - Adultes
90520000;Psychothérapeutes;;;;;;;;;;
90520000;7190;Filliozat Corinne;TAB;25, r. Jean Jaguin;94000;Créteil;06 50 59 58 78;;;;
90520000;7191;Held Philippe;TAB;9, r. Mèches;94000;Créteil;01 41 78 66 20;;;;
90520000;7192;Jurkiewicz Alain;TAB;19, r. de Plaisance;94000;Créteil;01 48 98 41 14;;;;
90520000;7193;Mardoyan Seta;TAB;148, r. du Gén. Leclerc;94000;Créteil;01 42 07 08 07;;;;
90530000;Radiologie;;;;;;;;;;
90530000;7194;Aboulker Charles;TAB;34 r. des Mèches;94000;Créteil;01 42 07 94 33;;;;
90530000;7195;Amram Sultan Sophie;TAB;Ccial Régional;94000;Créteil;01 49 80 54 21;;;;
90530000;7196;Aymard Armand;TAB;16-18, r. Porte de Brie;94000;Créteil;01 48 99 59 99;;;;
90530000;7197;Centre Hospitalier Intercommunal de Créteil;TAB;40, av. Verdun;94000;Créteil;01 45 17 50 00;;;;
90530000;7198;Chaze Germaine;TAB;Ccial Régional;94000;Créteil;01 49 80 54 21;;;;
90530000;7199;Djen Alain;TAB;Ccial Régional;94000;Créteil;01 49 80 54 21;;;;
90530000;7200;Jouclas Patrick;TAB;Ccial Régional;94000;Créteil;01 49 80 54 20;;;;
90530000;7201;Kron Philippe;TAB;Ccial Régional;94000;Créteil;01 49 80 54 21;;;;
90530000;7202;Kulski Alain;TAB;16, r. Porte de Brie;94000;Créteil;01 48 99 59 99;;;;
90530000;7203;Larde Dominique;TAB;34, r. des Mèches;94000;Créteil;01 42 07 94 33;;;;
90530000;7204;Le Cudonnec Bertrand;TAB;34, r. des Mèches;94000;Créteil;01 42 07 94 33;;;;
90530000;7205;Manceau Francis;TAB;34, r. des Mèches;94000;Créteil;01 42 07 94 33;;;;
90530000;7206;Marciano Simon;TAB;16, r. Porte de Brie;94000;Créteil;01 48 99 59 99;;;;
90530000;7207;Pfeiffer Lorene;TAB;Ccial Régional;94000;Créteil;01 49 80 54 22;;;;
90530000;7208;Utzmann Olivier;TAB;Ccial Régional;94000;Créteil;01 49 80 54 20;;;;
90530000;7209;Waguet Jérôme;TAB;34, r. Mèches;94000;Créteil;01 42 07 94 33;;;;
90540000;Rhumatologie;;;;;;;;;;
90540000;7210;Beraneck Luc;TAB;48, r. Chéret;94000;Créteil;01 48 99 42 42;;;;
90540000;7211;Garnery Alain;TAB;70, av. Pierre Brossolette;94000;Créteil;01 48 98 10 12;;;;
90540000;7212;Nakache Leichter Sandrine;TAB;Ccial Régional;94000;Créteil;01 49 80 01 33;;;;
90540000;7213;Van Reeth Christine;TAB;14, av. Pierre Brossolette;94000;Créteil;01 42 07 18 34;;;;
90540000;7214;Zeitoun Michel;TAB;32, av. France Libre;94000;Créteil;01 49 80 10 86;;;;
90550000;Sages-Femmes;;;;;;;;;;
90550000;7215;Nguyen Emmanuelle;TAB;30, all. Toison d'Or;94000;Créteil;01 49 80 10 65;;;;
90550000;7216;Pelat Mélanie;TAB;30, all. Toison d'Or;94000;Créteil;01 49 80 10 65;;;;
90550000;7217;Roux Virginie;TAB;8, rue des Mèches;94000;Créteil;01 41 78 82 08;;;;Prise en charge globale de la grossesse : - Consultations - Préparation à la naissance - Suite de couches - Rééducation Périnéale - Contraception
90550000;7218;Soussan Eva;TAB;11, sq. de l'Eau Vive;94000;Créteil;01 43 77 86 22;;;;Diplômée d'Etat de l'Hôpital St-Antoine : - Surveillance de grossesse pathologique, suivi de grossesse, monitoring (gémellaire), suites de couches, soutien à l'allaitement. - Consultation à domicile.
90550000;7219;Tordjman Daniele;TAB;17, villa Petit Parc;94000;Créteil;01 42 07 12 78;;;;
90560000;Sexologues;;;;;;;;;;
90560000;7220;Farahmand Hossein;TAB;6, pl. Jean Giraudoux;94000;Créteil;01 41 78 38 65;;;;
90560000;7221;Vergriete Jacques;TAB;53, r. Gén. Leclerc;94000;Créteil;01 42 07 05 81;;;;
90570000;Stomatologie, Implantologie Dentaire;;;;;;;;;;
90570000;7222;Cohen Jacques;TAB;28, av. Verdun;94000;Créteil;01 41 78 92 92;;;;
90570000;7223;Melloul Alain;TAB;28, av. Verdun;94000;Créteil;01 41 78 92 92;;;;
90570000;7224;Meningaud Jean-Paul;TAB;51, av. Maréchal de Lattre de Tassigny - CHU Henri Mondor;94000;Créteil;06 20 52 25 66;;;;
90580000;Vétérinaires Praticiens;;;;;;;;;;
90580000;7225;Abeille Sylvain;TAB;40, r. Gabriel Péri;94000;Créteil;01 43 77 57 77;;;;
90580000;7226;Benhamou Serge;TAB;3, pl. Pierre Mendès France;94000;Créteil;01 43 77 87 87;;;;
90580000;7227;Boyot-Fontanel Delphine;TAB;40, r. Gabriel Péri;94000;Créteil;01 43 77 57 77;;;;
90580000;7228;Chetboul Valérie;TAB;23, r. Cheret;94000;Créteil;01 56 72 15 77;;;;
90580000;7229;Clinique Vétérinaire du Docteur Bricout Elisabeth;TAB;19, r. Paris;94000;Créteil;01 42 07 10 90;;;;
90580000;7230;Klein Arnaud;TAB;40, r. Gabriel Péri;94000;Créteil;01 43 77 57 77;;;;
90580000;7231;Stofleth Yannick;TAB;40, r. Gabriel Péri;94000;Créteil;01 43 77 57 77;;;;
90580000;7232;Vaché Gérard;TAB;40, r. Gabriel Péri;94000;Créteil;01 43 77 57 77;;;;
1080000000;Services;;;;;;;;;;
1080020000;Assurances;;;;;;;;;;
1080020000;7780;A.G.F Assurances;TAB;60 ter, r. Gén. Leclerc;94000;Créteil;01 49 81 73 73;;;;
1080020000;7781;A.S.C (Assurance Sécurité Confiance);TAB;24, r. Falkirk;94000;Créteil;01 46 81 79 79;;;;
1080020000;7782;AG2R La Mondiale;TAB;77, bd Oudry - imm le Marais 3ème étage;94000;Créteil;09 70 80 88 08;;;;
1080020000;7783;Assu 2000;TAB;72, r. Gén. Leclerc;94000;Créteil;0 820 04 20 00;;;;
1080020000;7784;Assurance Unie;TAB;87, r. Gén. Leclerc;94000;Créteil;01 48 99 33 04;;;;
1080020000;7785;Axa Didier Nisse;TAB;28, av. Mar de Lattre de Tassigny;94000;Créteil;01 70 61 95 08;;;;
1080020000;7786;Benamara Simone;TAB;1, pl. Grand Pavois;94000;Créteil;01 49 81 08 33;;;;
1080020000;7787;C Courtage Assurances;TAB;17, villa Petit Parc;94000;Créteil;01 45 17 68 68;;;;
1080020000;7788;Cabinet Lemy MMA;TAB;13, r. Gén. Leclerc;94000;Créteil;01 42 07 40 13;;;;
1080020000;7789;Cabinet Lereah Franck;TAB;29, av. Doct Paul Casalis;94000;Créteil;01 42 07 16 77;;;;
1080020000;7790;Cabinet Paris Piétra;TAB;54, av. Jean Baptiste Champeval;94000;Créteil;01 56 72 90 20;;;;
1080020000;7791;Camara Dalla;TAB;2, all. Max Ophuls;94000;Créteil;01 49 56 06 42;;;;
1080020000;7792;Centur'Conseils;TAB;85, av. Gén. de Gaulle;94000;Créteil;01 48 98 45 45;;;;
1080020000;7793;Cohen-Skalli Serge;TAB;31, r. Parc;94000;Créteil;01 42 07 11 67;;;;
1080020000;7794;Conseil Service En Assurance Et Finance;TAB;19, r. Courcy;94000;Créteil;01 80 89 61 13;;;;
1080020000;7795;GMF Assurances;TAB;1, av. Petites Haies;94000;Créteil;09 70 80 98 09;;;;
1080020000;7796;Groupama Paris Val de Loire;TAB;39, r. Pierre Brossolette;94000;Créteil;01 45 17 09 70;;;;
1080020000;7797;LCL - Le Crédit Lyonnais;TAB;109, r. Gén. Leclerc;94000;Créteil;0 820 82 31 65;;;;
1080020000;7798;M.A.C.S.F (Mutuelle d'Assurances Du Corps de Santé Français);TAB;22, av. République;94000;Créteil;32 33;;;;
1080020000;7799;MAAF Assurances;TAB;89, av. Gén. Leclerc;94000;Créteil;01 45 17 07 77;;;;
1080020000;7800;MAIF;TAB;79, bd Jean Baptiste Oudry;94000;Créteil;01 43 99 62 00;;;;
1080020000;7801;Manat Christian;TAB;74 ter, r. Gén. Leclerc;94000;Créteil;01 48 99 23 51;;;;
1080020000;7802;MATMUT Assurances;TAB;217 bis, r. Gén. Leclerc;94000;Créteil;01 48 98 41 56;;;;
1080020000;7803;Moreau-Huet Annie;TAB;93, r. Brie;94000;Créteil;01 42 07 29 20;;;;
1080020000;13707;Mutuelle de Poitiers - Audrey Chauffour;TAB;100, bd. de Créteil;94100;Saint-Maur;01 48 85 88 93;01 48 85 88 80;;www.mutpoitiers.fr;"Agent général d'assurances ""Votre assureur vous connaît, et ça change tout !"""
1080020000;7804;Pluriel Assurances;TAB;77, r. Gén. Leclerc;94000;Créteil;01 42 07 55 55;;;;
1080020000;7805;Protectassur;TAB;8, r. d'Estienne d'Orves;94000;Créteil;01 42 07 94 46;;;;
1080030000;Auto-Écoles;;;;;;;;;;
1080030000;7806;Auto-École Céline;TAB;34, av. François Mitterrand;94000;Créteil;01 43 77 75 68;;;;
1080030000;7807;Auto-École Château;TAB;20, r. des Mèches;94000;Créteil;01 48 99 20 00;;;;
1080030000;7808;Auto-École Chéret;TAB;117, r. Chéret;94000;Créteil;01 42 07 13 47;;;;
1080030000;7809;Auto-École de l'Échat;TAB;pl. Europe;94000;Créteil;01 43 99 07 89;;;;
1080030000;7810;Auto-École Kennedy;TAB;3, pl. Gabriel Faure;94000;Créteil;01 43 99 96 00;;;;
1080030000;7811;Auto-École Le Montaigut;TAB;16, r. Jules Michelet;94000;Créteil;01 48 99 40 61;;;;
1080030000;7812;Centre Éducation Routière St-Christophe;TAB;10, r. d'Estienne d'Orves;94000;Créteil;01 42 07 28 58;;;;
